,label
1182,0
408,0
505,0
450,0
611,0
182,1
429,0
301,0
385,0
1222,0
880,0
352,0
1217,0
1328,1
1553,0
1199,0
1134,0
1135,0
786,0
65,0
156,0
994,0
1166,0
913,0
714,0
1265,0
741,0
223,0
336,1
703,0
537,0
726,0
1506,0
660,0
644,0
1517,0
302,0
32,0
1197,0
1073,0
856,0
1468,0
1302,1
98,0
12,0
629,0
171,0
1547,0
337,0
366,0
1156,0
996,0
825,0
347,0
1208,0
103,0
1463,0
751,0
1350,0
1226,0
1260,0
711,0
166,0
34,0
885,0
1455,0
118,0
1443,1
37,0
968,0
55,0
575,0
43,0
548,0
1229,0
722,0
1148,0
294,1
464,0
559,0
590,0
1338,0
1151,1
499,0
1365,1
937,0
1165,0
269,0
1480,0
446,0
1286,0
1035,0
918,0
765,0
846,0
773,0
928,0
592,0
687,0
1205,0
54,0
348,0
475,0
382,0
626,0
597,0
1201,0
74,0
1155,0
121,0
1190,0
561,0
222,1
345,0
1268,0
1482,0
31,0
397,0
1034,0
1497,0
1447,0
526,0
993,0
1074,0
934,0
305,0
320,0
1387,0
1039,0
1132,0
355,0
788,0
1438,1
36,0
1108,0
1278,0
1022,0
1195,0
897,0
94,0
248,0
1183,0
1210,0
1040,0
38,1
168,0
653,0
1023,0
1366,0
1378,0
1435,0
307,0
848,0
1442,0
1543,0
325,0
691,0
946,0
350,0
1487,0
587,0
409,0
411,0
677,0
842,0
1046,0
1551,0
1071,0
1483,0
645,0
857,0
417,0
365,0
230,0
2,1
1207,0
275,0
1536,0
41,0
729,0
664,0
877,0
237,0
925,0
606,0
1274,0
33,0
939,0
807,0
1346,0
844,0
959,0
1555,0
150,0
142,0
332,0
809,0
950,0
1529,0
448,1
1105,0
220,0
1092,0
351,1
911,0
185,0
986,0
432,0
96,1
585,0
1271,0
1530,0
1301,0
803,0
733,0
671,0
1101,0
1542,0
271,0
783,0
434,0
493,0
1403,0
1129,0
1125,0
379,0
1310,0
1004,0
650,0
1450,0
657,0
201,0
942,0
869,0
133,0
50,1
636,0
715,0
213,0
588,0
810,0
1440,0
471,0
1104,0
272,0
151,0
1427,0
983,0
870,0
313,0
1362,0
126,0
964,0
867,0
1457,0
45,1
267,0
215,0
709,1
1486,0
1330,0
190,0
246,0
212,0
789,0
1386,0
879,0
1559,0
539,0
1142,0
157,1
1446,0
260,0
331,0
1111,0
907,0
131,1
441,1
923,0
1404,0
888,0
71,0
1433,0
61,0
1345,0
1558,0
1520,0
1080,0
467,0
1453,0
1257,0
1157,0
710,0
746,0
1117,0
479,0
343,0
522,0
778,0
367,0
860,0
676,0
1456,0
855,0
242,0
1340,0
1409,0
596,0
453,0
115,1
799,0
48,1
1041,0
1399,0
663,0
806,0
1405,0
1263,0
238,1
1224,0
720,0
461,0
802,0
419,0
625,0
495,1
251,0
935,0
210,0
16,0
566,0
1316,0
253,0
406,1
207,0
395,0
1230,0
1269,0
1083,0
1187,0
724,0
922,0
122,0
963,0
1093,0
110,0
214,0
760,0
894,0
502,0
1415,0
92,0
407,0
926,1
656,0
99,0
930,0
474,0
462,0
1245,0
686,0
1504,0
874,0
204,0
1118,0
154,1
771,0
187,0
547,0
1348,0
745,0
1369,0
169,1
19,0
1163,0
486,0
130,0
782,0
153,0
876,0
1323,0
621,0
380,0
988,0
402,0
775,0
770,0
608,0
67,0
1412,0
1198,0
1318,0
83,0
1021,0
1437,0
952,0
949,0
1317,0
1209,0
274,0
451,0
1078,0
1521,0
1255,0
1445,0
758,0
648,0
723,0
226,0
17,0
568,0
377,0
1130,0
1103,0
216,0
601,1
969,0
438,0
1488,0
792,0
843,0
607,0
14,1
699,0
917,0
510,0
1319,0
841,0
1100,0
44,0
955,0
344,1
507,0
884,0
199,0
433,0
1168,0
241,1
570,0
980,0
886,0
1476,0
864,0
602,0
1518,0
97,0
766,0
485,0
1390,0
1082,0
227,0
1393,0
147,0
211,0
1277,0
981,0
822,0
1432,0
769,0
816,0
958,0
296,0
1079,0
28,0
738,0
1066,0
685,0
595,0
281,0
1059,0
328,0
1552,0
933,0
1086,0
484,0
1467,0
1113,0
1214,0
35,0
418,0
340,0
1372,0
158,1
233,0
381,0
483,0
618,0
420,0
1515,0
849,0
200,0
1203,0
1494,0
431,0
180,1
567,0
1276,0
487,0
422,0
403,0
1107,0
1526,0
106,0
1028,0
56,0
1138,0
604,0
1152,0
1544,0
1202,0
838,0
321,1
921,0
690,0
982,0
1300,0
973,0
287,0
619,0
1154,0
359,0
265,0
341,0
1431,0
1296,0
1120,0
1282,0
906,0
948,0
1254,1
101,0
1371,0
1417,0
1373,0
85,0
1421,0
354,0
1058,0
580,0
300,0
1099,0
256,0
1283,0
1471,0
1097,0
1394,0
1451,0
784,0
1326,0
1389,0
40,1
1356,0
1241,1
737,0
283,0
999,0
370,0
357,0
364,0
990,0
1477,0
632,0
992,0
270,0
278,0
312,0
243,1
1349,0
504,0
176,0
872,0
1465,0
791,0
1262,0
140,0
277,1
830,0
62,1
850,0
1085,0
128,0
1557,0
1043,0
244,1
1061,0
1164,0
763,0
205,0
1109,0
1360,0
179,0
1273,0
466,0
196,0
181,0
91,0
1072,0
1158,0
78,0
1367,0
516,0
865,0
245,0
679,0
665,0
635,0
584,0
831,1
1452,0
1096,0
979,0
730,0
164,0
1053,0
836,0
515,0
854,0
123,0
449,0
88,0
808,0
141,0
666,0
780,0
748,0
696,0
1010,0
513,0
70,0
257,0
997,0
1418,0
1548,0
120,0
424,1
1139,0
756,0
398,0
589,0
781,0
231,1
297,0
399,0
372,0
333,0
1563,0
1050,0
1243,0
883,0
652,0
530,0
812,0
543,0
594,0
426,0
1428,0
1068,0
558,0
46,0
801,0
1490,0
175,0
912,0
1258,0
634,1
423,0
127,0
616,0
1416,0
13,0
1281,0
1153,0
63,0
1020,0
893,0
401,0
7,0
518,1
932,0
628,0
624,0
1460,0
1556,0
768,0
712,0
191,0
1196,0
1184,0
1033,0
1175,0
747,0
240,1
1242,1
473,0
1235,0
1499,0
189,1
149,0
1337,0
1374,0
1089,0
832,0
889,0
757,0
868,0
29,0
111,0
764,0
1017,0
1353,0
444,0
651,0
1251,0
1473,0
984,0
582,0
535,0
941,0
1128,0
1191,0
1009,0
591,0
1354,0
633,0
1189,1
114,0
817,0
899,0
713,0
940,0
610,0
1048,0
247,0
1087,0
1014,0
356,0
491,0
1150,0
508,1
1458,0
774,0
369,0
901,0
506,0
282,1
779,0
630,0
797,1
1287,0
293,0
188,1
229,0
944,0
1491,0
682,0
637,0
708,0
368,1
1503,0
1213,0
1336,0
209,0
95,0
672,0
1228,0
1550,0
1290,0
76,0
208,0
338,0
692,0
1140,0
718,0
680,0
1519,1
57,1
1185,1
1127,0
488,0
387,0
927,0
599,0
614,0
1352,0
100,0
793,0
835,0
286,0
929,1
22,0
455,0
6,0
206,0
310,0
203,0
1145,0
460,0
1495,0
903,0
457,0
749,0
1344,0
1240,0
1528,0
755,0
304,0
77,0
1012,0
851,0
735,0
353,0
217,0
1309,0
295,0
915,0
1200,0
1167,0
318,0
743,0
194,0
391,0
1275,0
613,0
1098,0
805,0
183,0
1293,0
1502,0
1370,0
477,0
553,0
731,0
612,0
736,0
1006,0
1221,0
796,0
1294,0
458,0
985,0
1420,0
1232,0
323,1
1146,0
1122,0
258,0
1177,0
193,0
1496,0
858,0
42,0
1289,0
1052,0
1038,0
400,0
107,0
138,0
316,0
192,0
1375,0
1315,0
734,0
1565,0
23,1
550,0
1311,0
1225,0
1045,0
1062,1
706,0
1562,0
148,0
1347,0
574,0
947,0
468,0
174,0
1474,0
693,0
953,0
544,0
951,0
440,0
52,0
1332,0
268,0
26,0
519,0
125,0
551,0
1212,0
1015,0
1233,0
1401,0
361,0
859,0
1019,0
292,0
1408,0
1335,0
1382,0
334,0
945,0
598,0
895,0
646,0
995,0
51,0
1223,0
249,0
1325,1
1003,0
452,0
195,0
330,0
1500,0
1220,0
777,0
814,0
523,0
324,0
689,0
533,0
721,0
954,0
512,0
392,1
1327,1
823,0
966,0
904,0
719,0
1510,0
1279,0
1380,0
1470,0
1392,0
261,0
335,0
900,0
818,0
1549,0
1162,0
853,0
826,1
112,0
284,0
1422,0
1170,0
24,0
776,0
69,0
160,0
1272,0
798,0
1384,0
681,0
1291,0
145,0
562,0
1538,0
135,0
413,0
1535,0
1303,1
517,0
1413,0
1137,0
87,0
552,0
529,0
1511,0
1524,0
1011,0
1307,0
694,0
892,0
5,0
744,0
991,0
1532,0
936,0
386,0
1364,1
139,0
119,0
144,0
1095,0
178,0
540,0
202,0
767,0
81,0
1434,0
18,0
1124,0
388,0
1534,0
1174,0
1541,0
697,0
494,0
772,0
1267,0
273,1
137,0
1464,0
1461,0
285,0
527,0
1439,0
1314,0
967,0
1546,0
546,0
1396,0
1516,0
717,0
384,0
1253,0
412,0
86,0
276,0
146,0
298,0
1522,0
360,0
266,0
759,0
707,0
90,0
84,0
1179,0
1136,0
905,0
1181,0
503,0
1178,0
219,0
143,0
102,0
262,0
64,1
1176,0
1507,0
1560,0
623,0
920,0
1067,0
371,0
442,0
389,0
752,0
430,0
1051,0
290,0
322,0
1218,0
668,0
1013,0
1407,0
790,0
405,0
134,0
1280,0
1090,0
804,0
172,0
560,0
1331,0
987,0
234,0
847,0
828,0
586,0
1379,0
1250,0
1448,0
0,0
1424,0
605,1
647,0
39,0
761,0
754,0
978,0
1008,0
1462,0
53,0
631,0
221,0
698,0
873,0
1363,1
673,0
1206,0
1478,0
1063,0
1545,0
845,0
794,0
327,1
235,1
871,1
1359,0
1523,0
1159,0
1030,0
1133,0
970,0
742,0
311,0
1357,0
163,0
910,0
1244,0
1102,0
1306,0
1057,0
971,0
1410,0
1064,0
1436,0
839,0
563,0
1444,0
882,0
80,0
1161,0
1398,0
1270,0
1123,0
1284,0
476,0
643,0
576,1
795,1
1001,0
1391,0
435,0
27,0
1385,0
1295,0
425,0
896,0
421,0
1037,0
1539,0
1248,0
317,0
79,0
177,0
15,0
72,0
829,0
496,0
509,0
198,0
186,1
750,0
1005,0
573,0
437,0
1351,0
1414,0
116,0
815,0
319,0
489,0
1044,0
881,0
1297,0
727,0
1211,1
524,0
25,0
615,0
314,0
1027,0
1126,0
1498,0
531,0
481,0
104,0
669,0
1259,0
428,0
1514,0
1031,0
1249,0
1025,0
232,0
569,0
1236,0
1469,0
579,0
1313,0
456,0
1110,0
683,0
739,0
1339,0
1324,1
1355,0
1088,0
1024,0
288,0
572,0
1065,0
308,0
1304,0
661,0
1423,0
1397,0
362,0
1419,0
1049,0
472,0
1513,0
255,0
811,0
1047,0
264,0
8,0
1069,0
1361,0
291,1
1143,0
349,0
1261,0
250,0
454,0
684,0
571,0
108,0
136,0
1149,0
1411,0
974,0
280,0
445,0
998,0
358,0
1106,0
875,0
239,0
956,0
443,0
1115,0
863,0
1459,0
1493,0
1042,0
